id,tournament_id,match_id,duel_format,time_utc,custom_time,player_1_id,player_2_id,dw1,dw2,status,created_at,updated_at,updated_by,deleted_by,deleted_at,created_by,duel_number,results_last_error,results_checked_at,rating_full,rating
20260315-098f1ed6671a,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,86347108,91831749,0,2,Done,"2026-03-14 17:57:39","2026-03-27 13:45:14",88813461,,,88813461,,,,,
20260315-ab55d3ee5d31,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,84992441,90496787,0,2,Done,"2026-03-14 17:57:39","2026-03-27 13:45:15",88813461,,,88813461,,,,,
20260315-209c76dacc41,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,84491129,86482486,,,Planned,"2026-03-14 17:57:39","2026-03-14 18:10:38",88813461,88813461,"2026-03-14 18:10:38",88813461,,,,,
20260315-918817b2651f,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,88813461,86256371,,,Planned,"2026-03-14 17:57:39","2026-03-14 18:10:38",88813461,88813461,"2026-03-14 18:10:38",88813461,,,,,
20260315-25da53dcf263,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,92927561,86463243,2,0,Done,"2026-03-14 18:10:38","2026-03-27 13:45:15",88813461,,,88813461,,,,,
20260315-fbe28e815849,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,84491129,86482486,2,1,Done,"2026-03-14 18:10:38","2026-03-27 13:45:15",88813461,,,88813461,,,,,
20260315-68062aa69bd8,Friendly-Matches,20260315COLESP,Bo3,2026-03-15T19:00:00.000Z,0,88813461,86256371,1,2,Done,"2026-03-14 18:10:38","2026-03-27 13:45:15",88813461,,,88813461,,,,,
20260315-3152c2248396,Friendly-Matches,20260315BRAJPN,Bo3,2026-03-15T13:00:00.000Z,0,85037627,87125226,2,0,Done,"2026-03-15 10:32:11","2026-03-27 13:45:14",84375106,,,83858076,1,,,,
20260315-f25b032b15d7,Friendly-Matches,20260315BRAJPN,Bo3,2026-03-15T13:00:00.000Z,0,86345496,84891834,2,0,Done,"2026-03-15 10:32:11","2026-03-27 13:45:14",84375106,,,83858076,2,,,,
20260315-52ee527d115a,Friendly-Matches,20260315BRAJPN,Bo3,2026-03-15T13:00:00.000Z,0,32669118,84051152,0,2,Done,"2026-03-15 10:32:11","2026-03-27 13:45:14",84375106,,,83858076,3,,,,
20260315-208ccdb99dc3,Friendly-Matches,20260315BRAJPN,Bo3,2026-03-15T13:00:00.000Z,0,86903605,91776994,2,1,Done,"2026-03-15 10:32:11","2026-03-27 13:45:14",84375106,,,83858076,4,,,,
20260315-11480bec5e23,Friendly-Matches,20260315BRAJPN,Bo3,2026-03-15T13:00:00.000Z,0,93433730,89548012,1,2,Done,"2026-03-15 10:32:11","2026-03-27 13:45:14",84375106,,,83858076,5,,,,
lineup-a8e043be5d71,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,94586198,96490976,2,1,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,1,,,,
lineup-50c8844c233a,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,65246746,88450070,2,0,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,2,,,,
lineup-11d5c9fe6e0d,Friendly-Matches,20260317BELUKR,Bo3,2026-03-17T19:30:00.000Z,0,84142963,95704683,1,2,Done,"2026-03-17 09:19:26","2026-03-27 13:45:15",84375106,,,39136230,3,,,,
