id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20260301-88551769-84051152,Friendly-Matches,20260301COLJPN,3,Bo3,01/03/2026 13:30:00,0,88551769,84051152,Planned,84375106
20260301-96632448-87125226,Friendly-Matches,20260301COLJPN,4,Bo3,01/03/2026 13:30:00,0,96632448,87125226,Planned,84375106
20260301-88813461-83858076,Friendly-Matches,20260301COLJPN,5,Bo3,01/03/2026 13:30:00,0,88813461,83858076,Planned,84375106
20260312-99365524-94256482,Friendly-Matches,20260312COLURY,1,Bo3,12/03/2026 01:00:00,0,99365524,94256482,Planned,84375106
20260312-88113731-96143250,Friendly-Matches,20260312COLURY,2,Bo3,12/03/2026 01:00:00,0,88113731,96143250,Planned,84375106
20260312-84992441-94481545,Friendly-Matches,20260312COLURY,3,Bo3,12/03/2026 01:00:00,0,84992441,94481545,Planned,84375106
20260312-94367581-95522929,Friendly-Matches,20260312COLURY,4,Bo3,12/03/2026 01:00:00,0,94367581,95522929,Planned,84375106
20260312-94363975-84577675,Friendly-Matches,20260312COLURY,5,Bo3,12/03/2026 01:00:00,0,94363975,84577675,Planned,84375106
20260312-88270983-95429614,Friendly-Matches,20260312COLURY,6,Bo3,12/03/2026 01:00:00,0,88270983,95429614,Planned,84375106
20260312-90890134-96501185,Friendly-Matches,20260312COLURY,7,Bo3,12/03/2026 01:00:00,0,90890134,96501185,Planned,84375106
20260312-88551769-85525688,Friendly-Matches,20260312COLURY,8,Bo3,12/03/2026 01:00:00,0,88551769,85525688,Planned,84375106
20260312-84635111-85431140,Friendly-Matches,20260312BELHRV,1,Bo3,12/03/2026 19:30:00,0,84635111,85431140,Planned,84375106
20260312-92738595-95122337,Friendly-Matches,20260312BELHRV,2,Bo3,12/03/2026 19:30:00,0,92738595,95122337,Planned,84375106
20260312-84142963-86611873,Friendly-Matches,20260312BELHRV,3,Bo3,12/03/2026 19:30:00,0,84142963,86611873,Planned,84375106
20260312-65246746-85397297,Friendly-Matches,20260312BELHRV,4,Bo3,12/03/2026 19:30:00,0,65246746,85397297,Planned,84375106
20260312-84983857-95026685,Friendly-Matches,20260312BELHRV,5,Bo3,12/03/2026 19:30:00,0,84983857,95026685,Planned,84375106
20250223-90314669-88028287,Friendly-Matches,20250223FINTUT,1,Bo3,23/02/2025 19:00:00,0,90314669,88028287,Planned,84375106
20250223-96610271-95055731,Friendly-Matches,20250223FINTUT,2,Bo3,23/02/2025 19:00:00,0,96610271,95055731,Planned,84375106
